Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Desmond Bane,SG,25,MEM,31,31,34.5,9.0,19.2,.471,3.5,9.0,.385,5.6,10.2,.546,.561,3.1,3.6,.858,0.9,3.7,4.6,5.2,1.1,0.6,2.8,2.9,24.6
Dalano Banton,PG,24,BOS,15,1,7.4,1.1,2.2,.485,0.1,0.5,.125,1.0,1.7,.600,.500,0.6,0.7,.900,0.7,1.2,1.9,0.5,0.1,0.1,0.5,0.9,2.8
Dominick Barlow,PF,20,SAS,10,0,7.2,0.7,2.1,.333,0.1,0.4,.250,0.6,1.7,.353,.357,0.5,0.8,.625,0.3,1.2,1.5,0.1,0.4,0.0,0.0,0.8,2.0
Harrison Barnes,PF,31,SAC,31,31,30.0,3.8,8.0,.480,1.7,4.4,.385,2.2,3.6,.593,.585,2.0,2.4,.840,0.8,2.2,3.1,1.3,0.7,0.2,0.7,1.2,11.4
Scottie Barnes,SG,22,TOR,33,33,35.2,7.8,16.3,.480,2.2,5.7,.385,5.6,10.6,.531,.547,3.2,4.1,.772,2.6,6.7,9.3,5.8,1.5,1.4,2.4,2.0,21.0
RJ Barrett,SG,23,TOT,27,27,29.4,6.3,14.8,.425,1.6,4.9,.333,4.7,9.9,.470,.480,4.0,4.9,.826,0.8,3.6,4.4,2.4,0.4,0.3,1.9,1.9,18.3
RJ Barrett,SG,23,NYK,26,26,29.5,6.3,14.9,.423,1.7,5.0,.331,4.7,9.9,.469,.478,4.0,4.8,.831,0.7,3.5,4.3,2.4,0.5,0.3,1.8,1.7,18.2
RJ Barrett,SG,23,TOR,1,1,29.0,6.0,12.0,.500,1.0,2.0,.500,5.0,10.0,.500,.542,6.0,8.0,.750,3.0,6.0,9.0,1.0,0.0,0.0,5.0,5.0,19.0
Charles Bassey,C,23,SAS,19,0,10.8,1.5,2.1,.725,0.0,0.1,.000,1.5,2.1,.744,.725,0.3,0.3,.833,1.2,2.8,4.0,1.1,0.4,0.9,0.8,1.6,3.3
Emoni Bates,SF,20,CLE,10,0,7.6,0.6,2.5,.240,0.5,2.0,.250,0.1,0.5,.200,.340,0.1,0.2,.500,0.1,0.9,1.0,0.6,0.1,0.2,0.1,0.5,1.8
Keita Bates-Diop,SF,28,PHO,23,8,17.5,1.8,4.5,.404,0.5,1.8,.268,1.3,2.7,.492,.457,1.0,1.4,.719,0.9,2.2,3.1,0.9,0.6,0.7,0.3,0.9,5.1
Nicolas Batum,PF,35,TOT,21,14,23.7,2.0,3.8,.538,1.4,2.9,.475,0.7,0.9,.737,.719,0.3,0.5,.636,0.9,2.8,3.6,2.1,0.6,0.6,0.5,1.7,5.8
Nicolas Batum,PF,35,LAC,3,0,18.0,1.0,2.7,.375,0.7,2.3,.286,0.3,0.3,1.000,.500,0.0,0.0,,0.0,2.3,2.3,1.7,1.0,1.3,0.3,1.7,2.7
Nicolas Batum,PF,35,PHI,18,14,24.6,2.2,4.0,.556,1.5,3.0,.500,0.7,1.0,.722,.743,0.4,0.6,.636,1.0,2.8,3.8,2.2,0.5,0.5,0.5,1.7,6.3
Bradley Beal,SG,30,PHO,9,9,27.8,5.8,11.8,.491,1.2,3.1,.393,4.6,8.7,.526,.542,2.8,3.6,.781,0.3,2.8,3.1,3.2,0.7,0.6,2.3,2.0,15.6
Malik Beasley,SG,27,MIL,31,31,29.9,4.3,8.7,.487,3.0,6.4,.470,1.3,2.4,.534,.659,0.3,0.4,.667,0.7,3.6,4.3,1.4,0.8,0.1,0.6,2.0,11.8
MarJon Beauchamp,SF,23,MIL,28,1,15.1,1.9,3.7,.505,0.8,1.6,.457,1.1,2.0,.544,.607,0.4,0.7,.600,0.5,1.9,2.4,0.7,0.3,0.1,0.7,1.5,4.9
Jules Bernard,SG,24,WAS,2,0,5.0,0.5,2.5,.200,0.0,1.5,.000,0.5,1.0,.500,.200,0.0,0.0,,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0
Dāvis Bertāns,PF,31,OKC,11,0,7.5,0.8,2.1,.391,0.8,1.9,.429,0.0,0.2,.000,.587,1.3,1.4,.933,0.2,0.7,0.9,0.7,0.2,0.2,0.1,0.9,3.7
Patrick Beverley,PG,35,PHI,31,1,17.4,1.8,4.1,.437,0.6,2.0,.306,1.2,2.1,.563,.512,0.9,1.2,.750,0.7,2.1,2.8,2.3,0.5,0.3,0.7,1.7,5.0
Saddiq Bey,SF,24,ATL,32,20,32.2,4.7,10.4,.449,1.9,5.4,.347,2.8,5.0,.560,.539,1.8,2.2,.789,2.3,4.3,6.6,1.3,1.1,0.2,1.1,1.6,12.9
Goga Bitadze,C,24,ORL,29,22,20.3,2.9,4.8,.601,0.0,0.2,.200,2.8,4.6,.617,.605,1.4,2.1,.700,2.3,3.7,6.0,1.7,0.7,1.7,0.9,2.2,7.2
Onuralp Bitim,SG,24,CHI,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bismack Biyombo,C,31,MEM,26,24,23.7,2.3,4.2,.565,0.0,0.0,,2.3,4.2,.565,.565,0.8,1.7,.477,2.0,4.3,6.3,1.7,0.3,1.1,1.2,2.7,5.5
Anthony Black,PG,20,ORL,30,26,20.8,2.1,4.1,.512,0.5,1.5,.356,1.6,2.6,.603,.577,0.7,1.2,.629,0.7,2.1,2.8,1.8,0.6,0.4,1.1,2.2,5.5
Leaky Black,SF,24,CHO,7,0,5.7,0.7,1.1,.625,0.1,0.3,.500,0.6,0.9,.667,.688,0.0,0.0,,0.3,0.7,1.0,0.6,0.3,0.4,0.1,0.3,1.6
Bogdan Bogdanović,SG,31,ATL,30,2,28.5,6.3,14.4,.440,3.3,8.8,.379,3.0,5.6,.536,.556,1.5,1.7,.902,0.5,2.8,3.3,2.7,1.2,0.3,1.0,2.5,17.5
Bojan Bogdanović,PF,34,DET,14,13,33.6,6.7,14.8,.454,2.7,7.2,.376,4.0,7.6,.528,.546,3.1,4.1,.741,0.6,3.0,3.6,2.7,0.8,0.1,2.4,2.2,19.2
Bol Bol,PF,24,PHO,9,0,4.3,0.8,1.2,.636,0.1,0.3,.333,0.7,0.9,.750,.682,0.2,0.2,1.000,0.3,1.1,1.4,0.1,0.0,0.3,0.4,0.7,1.9
Marques Bolden,C,25,MIL,2,0,1.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0
Devin Booker,PG,27,PHO,24,24,35.8,8.9,19.1,.466,2.0,5.3,.373,7.0,13.9,.502,.517,6.6,7.5,.883,0.9,4.4,5.3,7.9,0.8,0.4,2.8,3.3,26.4
Brandon Boston Jr.,SF,22,LAC,5,0,8.8,2.0,4.8,.417,0.6,2.4,.250,1.4,2.4,.583,.479,1.2,1.2,1.000,0.4,0.8,1.2,0.6,0.2,0.0,0.2,1.0,5.8
Chris Boucher,PF,31,TOR,30,0,13.8,2.0,4.4,.455,0.7,1.9,.357,1.3,2.5,.526,.530,1.4,1.9,.750,1.1,2.5,3.6,0.3,0.3,0.5,0.4,1.6,6.1
James Bouknight,SG,23,CHO,5,0,5.6,1.6,3.0,.533,1.2,2.2,.545,0.4,0.8,.500,.733,0.0,0.0,,0.2,1.0,1.2,0.6,0.0,0.0,0.2,0.2,4.4
Jamaree Bouyea,PG,24,POR,6,0,9.5,0.8,3.5,.238,0.0,1.3,.000,0.8,2.2,.385,.238,0.0,0.0,,0.3,1.3,1.7,1.3,0.0,0.0,1.3,0.5,1.7
Malaki Branham,PG,20,SAS,32,20,22.8,3.8,8.5,.441,1.1,3.3,.318,2.7,5.2,.521,.504,0.6,0.7,.905,0.3,1.8,2.2,2.5,0.4,0.1,1.3,1.4,9.2
Christian Braun,SG,22,DEN,35,0,19.9,3.1,6.6,.466,0.7,1.9,.400,2.3,4.8,.491,.522,1.4,1.9,.746,0.7,2.9,3.7,1.8,0.4,0.4,0.7,1.6,8.3
Mikal Bridges,SF,27,BRK,33,33,34.1,7.5,16.4,.457,2.0,5.6,.359,5.5,10.8,.508,.519,4.1,5.0,.829,1.0,4.3,5.3,3.8,0.9,0.4,2.3,1.6,21.1
Miles Bridges,SF,25,CHO,20,18,36.3,7.5,16.6,.449,2.0,6.3,.320,5.5,10.4,.527,.509,2.8,3.3,.848,0.9,6.3,7.2,3.0,1.3,0.5,1.8,2.3,19.7
Oshae Brissett,SF,25,BOS,17,0,11.2,1.1,2.2,.474,0.4,0.9,.375,0.7,1.3,.545,.553,0.6,1.0,.588,1.1,1.6,2.7,0.5,0.4,0.0,0.3,0.9,3.1
Malcolm Brogdon,PG,31,POR,25,16,28.3,5.8,13.3,.440,2.3,5.5,.423,3.5,7.8,.451,.527,2.2,2.8,.783,0.7,2.8,3.6,5.7,0.8,0.2,1.4,1.3,16.2
Armoni Brooks,PG,25,BRK,8,0,11.6,1.6,5.1,.317,1.3,3.5,.357,0.4,1.6,.231,.439,0.1,0.3,.500,0.8,1.3,2.0,0.6,0.1,0.1,0.4,0.3,4.6
Dillon Brooks,SF,28,HOU,28,28,30.9,5.0,10.6,.476,1.9,4.6,.408,3.1,5.9,.530,.566,1.6,1.9,.833,0.7,2.8,3.5,1.7,0.9,0.0,1.7,3.8,13.6
Bruce Brown,SG,27,IND,27,27,30.7,4.3,9.5,.457,1.0,3.4,.297,3.3,6.1,.545,.510,1.9,2.4,.813,0.7,3.9,4.6,2.9,1.1,0.3,1.1,2.5,11.6
Charlie Brown Jr.,SG,26,NYK,3,0,1.7,0.3,1.3,.250,0.3,1.0,.333,0.0,0.3,.000,.375,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,1.0
Greg Brown III,PF,22,DAL,5,0,5.6,0.4,1.2,.333,0.0,0.2,.000,0.4,1.0,.400,.333,0.8,1.8,.444,0.4,1.0,1.4,0.6,0.0,0.2,0.6,0.6,1.6
Jaylen Brown,SF,27,BOS,30,30,33.8,8.9,18.2,.489,2.2,6.2,.358,6.7,12.0,.557,.550,2.9,4.0,.733,0.9,4.2,5.1,3.7,1.1,0.6,2.5,2.7,23.0
Kobe Brown,PF,24,LAC,22,0,10.6,1.0,2.5,.407,0.5,1.6,.314,0.5,0.9,.579,.509,0.0,0.1,.500,0.3,1.3,1.6,0.6,0.2,0.1,0.2,1.6,2.5
Moses Brown,C,24,POR,9,4,9.1,1.0,2.3,.429,0.0,0.0,,1.0,2.3,.429,.429,0.0,0.4,.000,2.0,3.1,5.1,0.2,0.2,0.3,0.4,1.2,2.0
Troy Brown Jr.,SF,24,MIN,28,3,13.1,1.6,3.5,.455,0.9,2.4,.382,0.7,1.1,.613,.586,0.7,0.8,.864,0.5,1.8,2.3,0.9,0.3,0.1,0.5,0.8,4.8
Jalen Brunson,PG,27,NYK,33,33,35.9,9.0,19.4,.463,2.8,6.4,.431,6.2,13.0,.479,.534,4.8,5.9,.820,0.7,3.3,4.0,6.2,1.1,0.2,2.4,2.2,25.6
Thomas Bryant,C,26,MIA,19,3,11.9,2.1,3.8,.556,0.0,0.2,.000,2.1,3.6,.580,.556,0.9,1.1,.850,1.2,2.5,3.6,0.6,0.3,0.3,0.8,1.2,5.1
Kobe Bufkin,SG,20,ATL,2,0,2.0,0.0,1.5,.000,0.0,0.5,.000,0.0,1.0,.000,.000,0.5,1.0,.500,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5
Reggie Bullock,SF,32,HOU,13,0,8.7,0.8,1.9,.400,0.5,1.5,.368,0.2,0.5,.500,.540,0.1,0.1,1.000,0.2,1.0,1.2,0.5,0.1,0.1,0.2,0.5,2.2
Alec Burks,SG,32,DET,26,0,18.5,2.8,8.1,.348,1.7,4.9,.352,1.1,3.2,.341,.455,2.6,2.9,.895,0.5,1.7,2.1,1.3,0.5,0.2,0.5,1.4,10.0
Jared Butler,SG,23,WAS,14,0,7.9,1.6,3.1,.512,0.5,1.5,.333,1.1,1.6,.682,.593,0.9,1.1,.800,0.0,0.7,0.7,1.9,0.6,0.1,0.7,1.0,4.5
Jimmy Butler,PF,34,MIA,24,24,33.6,6.5,14.0,.464,0.8,2.2,.377,5.7,11.8,.481,.494,7.1,8.1,.881,1.9,3.2,5.0,4.5,1.0,0.4,1.8,1.1,21.0
Jamal Cain,PF,24,MIA,12,1,16.9,2.3,5.1,.443,0.6,2.0,.292,1.7,3.1,.541,.500,1.0,1.4,.706,0.8,1.4,2.3,0.3,0.8,0.3,0.3,1.3,6.1
Kentavious Caldwell-Pope,SG,30,DEN,33,33,32.1,3.5,7.8,.457,1.5,3.6,.415,2.1,4.2,.493,.553,1.4,1.6,.887,0.5,1.7,2.1,2.7,1.4,0.5,1.0,2.0,10.0
Toumani Camara,PF,23,POR,31,22,25.0,2.6,6.4,.414,0.8,2.7,.294,1.8,3.6,.504,.477,0.9,1.3,.683,2.0,2.8,4.8,1.0,1.0,0.5,1.1,2.6,7.0
Clint Capela,C,29,ATL,31,31,26.3,5.0,8.5,.591,0.0,0.0,,5.0,8.5,.591,.591,1.9,2.8,.686,4.9,5.8,10.7,1.2,0.6,1.6,1.0,2.7,12.0
Jevon Carter,PG,28,CHI,34,0,14.4,2.0,5.4,.362,1.2,3.5,.342,0.8,1.9,.400,.473,0.1,0.1,.600,0.1,0.6,0.7,1.2,0.5,0.3,0.6,1.2,5.2
Wendell Carter Jr.,C,24,ORL,11,10,25.1,3.0,6.8,.440,0.9,2.5,.357,2.1,4.3,.489,.507,1.3,2.0,.636,1.7,5.0,6.7,1.8,0.3,0.5,1.4,2.1,8.2
Alex Caruso,SG,29,CHI,28,16,24.2,3.5,6.7,.529,1.6,3.6,.455,1.9,3.1,.616,.652,1.3,1.6,.778,1.1,2.4,3.5,2.5,1.2,0.8,1.4,2.3,10.0
Colin Castleton,C,23,LAL,4,0,7.0,1.3,2.0,.625,0.0,0.0,,1.3,2.0,.625,.625,0.5,0.5,1.000,0.8,1.0,1.8,0.8,0.0,0.0,0.0,1.3,3.0
Malcolm Cazalon,SG,22,DET,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julian Champagnie,SF,22,SAS,25,10,13.8,1.8,4.4,.409,1.3,3.3,.402,0.5,1.1,.429,.559,0.6,0.8,.800,0.4,1.4,1.8,0.8,0.5,0.6,0.7,1.0,5.6
Max Christie,SG,20,LAL,24,6,17.3,1.8,4.5,.389,0.7,2.2,.308,1.1,2.3,.464,.463,0.5,0.7,.750,0.2,2.7,2.8,1.0,0.5,0.3,0.8,1.4,4.7
Sidy Cissoko,SF,19,SAS,5,0,6.4,0.2,1.2,.167,0.0,0.8,.000,0.2,0.4,.500,.167,0.8,0.8,1.000,0.0,1.2,1.2,0.0,0.6,0.0,0.2,0.4,1.2
Jordan Clarkson,SG,31,UTA,24,19,30.0,6.1,15.2,.404,1.7,5.8,.290,4.5,9.4,.473,.459,3.1,3.6,.872,1.2,2.5,3.6,5.3,0.8,0.1,3.0,1.6,17.0
Nic Claxton,C,24,BRK,23,23,27.7,5.0,8.1,.618,0.0,0.0,1.000,5.0,8.0,.616,.621,1.7,2.8,.600,3.1,6.7,9.9,1.8,0.4,2.5,0.9,2.4,11.7
Noah Clowney,PF,19,BRK,2,0,13.5,3.0,4.5,.667,0.0,0.5,.000,3.0,4.0,.750,.667,1.0,1.0,1.000,1.5,1.0,2.5,1.0,0.0,0.0,0.5,1.5,7.0
Amir Coffey,SF,26,LAC,20,6,14.7,1.4,3.0,.467,0.6,1.8,.343,0.8,1.3,.640,.567,0.6,0.7,.923,0.4,1.2,1.6,0.8,0.2,0.0,0.4,1.1,4.0
John Collins,PF,26,UTA,30,28,28.9,5.1,10.8,.474,1.4,3.7,.375,3.7,7.1,.526,.538,1.9,2.5,.784,2.2,5.7,7.9,0.7,0.6,0.9,1.5,2.6,13.6
Zach Collins,C,26,SAS,31,23,26.1,4.9,10.0,.495,1.1,3.5,.312,3.8,6.5,.595,.550,2.0,2.5,.792,1.9,4.1,6.0,3.3,0.6,0.8,2.3,3.4,12.9
Mike Conley,PG,36,MIN,32,32,29.4,3.8,8.3,.461,2.4,5.2,.455,1.5,3.1,.470,.603,1.4,1.5,.939,0.4,2.5,2.8,6.2,1.0,0.2,1.1,1.7,11.5
Pat Connaughton,SF,31,MIL,27,0,22.0,2.0,4.8,.411,1.1,3.3,.322,0.9,1.4,.615,.523,0.4,0.6,.733,0.8,2.9,3.7,2.0,0.5,0.2,0.6,1.1,5.4
Bilal Coulibaly,SF,19,WAS,31,1,26.1,3.2,6.2,.513,1.1,2.7,.405,2.1,3.5,.598,.602,1.1,1.7,.660,0.7,3.4,4.1,1.8,0.9,0.6,1.5,2.0,8.5
Robert Covington,SF-PF,33,TOT,29,6,16.8,1.5,3.4,.439,0.7,1.9,.339,0.8,1.4,.571,.536,0.8,0.9,.846,1.1,2.3,3.3,0.8,1.3,0.6,0.4,1.9,4.4
Robert Covington,PF,33,LAC,3,3,23.0,1.0,3.0,.333,0.7,2.7,.250,0.3,0.3,1.000,.444,0.3,0.7,.500,0.7,2.0,2.7,2.3,2.0,0.7,0.0,2.3,3.0
Robert Covington,SF,33,PHI,26,3,16.1,1.5,3.4,.449,0.7,1.8,.354,0.9,1.6,.561,.545,0.8,0.9,.875,1.1,2.3,3.4,0.7,1.3,0.6,0.4,1.9,4.5
Torrey Craig,SF,33,CHI,27,7,21.2,2.2,5.1,.424,1.1,2.8,.382,1.1,2.3,.476,.529,0.7,0.9,.783,1.9,3.0,4.8,1.0,0.6,0.4,0.6,2.5,6.1
Jae Crowder,PF,33,MIL,9,2,26.7,2.8,5.2,.532,1.8,3.4,.516,1.0,1.8,.563,.702,0.8,1.3,.583,0.4,3.4,3.9,1.7,0.8,0.3,0.4,1.6,8.1
Cade Cunningham,PG,22,DET,33,33,35.0,8.5,19.2,.443,1.9,5.6,.337,6.6,13.7,.486,.491,4.1,4.7,.870,0.5,3.5,4.0,7.3,1.0,0.3,3.9,2.8,23.0
Seth Curry,SG,33,DAL,25,3,13.3,1.7,4.4,.385,1.0,2.5,.419,0.6,1.9,.340,.505,0.6,0.6,.875,0.5,1.1,1.6,0.9,0.6,0.1,0.4,0.9,5.0
Stephen Curry,PG,35,GSW,30,30,33.5,8.6,19.0,.453,4.7,11.6,.409,3.9,7.4,.523,.578,5.4,5.8,.931,0.5,3.9,4.4,4.5,0.7,0.4,3.1,1.8,27.3
Dyson Daniels,PG,20,NOP,33,13,22.4,2.3,5.5,.410,0.7,2.5,.272,1.6,3.1,.520,.470,0.7,1.1,.667,0.9,2.9,3.9,2.6,1.3,0.3,1.0,1.8,5.9
Anthony Davis,C,30,LAL,32,32,35.6,9.5,17.2,.551,0.4,1.0,.375,9.1,16.2,.562,.562,5.7,7.1,.806,3.3,9.0,12.3,3.3,1.2,2.6,2.0,2.6,25.0
Johnny Davis,SG,21,WAS,15,0,8.9,1.3,2.7,.463,0.1,0.2,.333,1.2,2.5,.474,.476,0.3,0.3,.800,0.5,0.7,1.3,0.3,0.5,0.1,0.3,0.7,2.9
JD Davison,SG,21,BOS,1,0,3.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Dexter Dennis,SG,24,DAL,4,0,7.5,2.5,4.8,.526,0.3,2.0,.125,2.3,2.8,.818,.553,0.3,0.8,.333,0.3,2.0,2.3,1.0,0.0,0.3,0.8,0.3,5.5
DeMar DeRozan,SF,34,CHI,32,32,36.7,7.8,17.0,.455,0.9,2.6,.345,6.8,14.4,.475,.482,6.0,7.1,.838,0.7,3.2,3.8,5.4,1.1,0.8,1.4,2.2,22.4
Moussa Diabaté,C,22,LAC,10,0,5.8,0.9,1.8,.500,0.0,0.0,,0.9,1.8,.500,.500,0.9,1.2,.750,1.4,0.6,2.0,0.4,0.4,0.0,0.2,0.4,2.7
Gradey Dick,SG,20,TOR,19,1,12.4,1.1,3.6,.294,0.6,2.3,.250,0.5,1.3,.375,.375,0.8,0.8,1.000,0.4,0.8,1.2,0.8,0.3,0.0,0.6,1.3,3.5
Ousmane Dieng,PF,20,OKC,18,0,11.2,1.5,3.3,.458,0.8,2.2,.350,0.7,1.1,.684,.576,0.6,0.7,.833,0.4,1.2,1.6,0.9,0.1,0.0,0.3,0.7,4.3
Spencer Dinwiddie,PG,30,BRK,31,31,31.9,4.6,11.9,.391,2.0,6.4,.317,2.6,5.5,.479,.477,3.0,3.9,.767,0.7,3.4,4.1,6.5,0.9,0.2,1.6,1.8,14.3
Donte DiVincenzo,SG,27,NYK,33,15,21.3,3.7,7.9,.469,2.5,5.6,.443,1.2,2.3,.533,.627,0.8,1.0,.735,0.7,2.2,2.9,1.8,1.1,0.3,1.0,1.8,10.6
Luka Dončić,PG,24,DAL,31,31,36.9,11.4,23.6,.484,4.0,10.6,.378,7.4,13.0,.569,.568,6.6,8.4,.785,0.8,7.5,8.3,9.4,1.4,0.6,4.0,1.7,33.4
Luguentz Dort,SF,24,OKC,30,30,28.5,3.7,8.0,.465,1.9,4.4,.427,1.9,3.7,.509,.581,1.8,2.2,.815,1.1,2.8,3.9,1.3,0.9,0.8,0.9,3.0,11.1
